院校名称,省份,专业组名称,投档线,最低投档排名,,,,,,,,,,,,,,,
杭州电子科技大学,浙江,第101组,578,4431,,,,,,,,,,,,,,,
广州大学,广东,第101组,578,4459,,,,,,,,,,,,,,,
南昌大学,江西,第101组,578,4399,,,,,,,,,,,,,,,
南昌大学,江西,第102组,565,6698,,,,,,,,,,,,,,,
南京信息工程大学,江苏,第102组,577,4583,,,,,,,,,,,,,,,
南京信息工程大学,江苏,第101组,575,4845,,,,,,,,,,,,,,,
江苏大学,江苏,第101组,577,4533,,,,,,,,,,,,,,,
河南大学,河南,第103组,577,4655,,,,,,,,,,,,,,,
河南大学,河南,第101组,577,4670,,,,,,,,,,,,,,,
河南大学,河南,第102组,576,4742,,,,,,,,,,,,,,,
广州中医药大学,广东,第101组,577,4596,,,,,,,,,,,,,,,
广州中医药大学,广东,第102组,566,6467,,,,,,,,,,,,,,,
新疆大学,新疆,第101组,577,4536,,,,,,,,,,,,,,,
新疆大学,新疆,第103组,569,6002,,,,,,,,,,,,,,,
新疆大学,新疆,第102组,568,6192,,,,,,,,,,,,,,,
东北林业大学,黑龙江,第102组,576,4777,,,,,,,,,,,,,,,
东北林业大学,黑龙江,第101组,574,5156,,,,,,,,,,,,,,,
汕头大学,广东,第101组,576,4702,,,,,,,,,,,,,,,
西南石油大学,四川,第101组,576,4673,,,,,,,,,,,,,,,
江西师范大学,江西,第10E组,576,4771,,,,,,,,,,,,,,,
江西师范大学,江西,第10F组,571,5656,,,,,,,,,,,,,,,
江西师范大学,江西,第10A组,569,5873,,,,,,,,,,,,,,,
江西师范大学,江西,第10C组,552,9792,,,,,,,,,,,,,,,
江西师范大学,江西,第10D组,543,12372,,,,,,,,,,,,,,,
河北经贸大学,河北,第101组,542,12682,,,,,,,,,,,,,,,
大连医科大学,辽宁,第101组,575,4923,,,,,,,,,,,,,,,
南京林业大学,江苏,第101组,575,4961,,,,,,,,,,,,,,,
湖北大学,湖北,第102组,575,4943,,,,,,,,,,,,,,,
湖北大学,湖北,第101组,569,5927,,,,,,,,,,,,,,,
湖北大学,湖北,第103组,564,7049,,,,,,,,,,,,,,,
广东工业大学,广东,第101组,575,4915,,,,,,,,,,,,,,,
广东工业大学,广东,第102组,574,5039,,,,,,,,,,,,,,,
广东工业大学,广东,第103组,562,7376,,,,,,,,,,,,,,,
东北农业大学,黑龙江,第101组,574,5107,,,,,,,,,,,,,,,
广西大学,广西,第101组,574,4993,,,,,,,,,,,,,,,
浙江财经大学,浙江,第101组,573,5239,,,,,,,,,,,,,,,
浙江财经大学,浙江,第102组,566,6619,,,,,,,,,,,,,,,
中南民族大学,湖北,第101组,573,5300,,,,,,,,,,,,,,,
天津师范大学,天津,第103组,572,5452,,,,,,,,,,,,,,,
天津师范大学,天津,第101组,566,6561,,,,,,,,,,,,,,,
苏州城市学院,江苏,第101组,542,12684,,,,,,,,,,,,,,,
福建师范大学,福建,第101组,572,5469,,,,,,,,,,,,,,,
温州肯恩大学,浙江,第101组,542,12701,,,,,,,,,,,,,,,
重庆师范大学,重庆,第103组,572,5492,,,,,,,,,,,,,,,
重庆师范大学,重庆,第104组,570,5806,,,,,,,,,,,,,,,
重庆师范大学,重庆,第101组,564,6958,,,,,,,,,,,,,,,
山东政法学院,山东,第102组,542,12735,,,,,,,,,,,,,,,
四川师范大学,四川,第102组,572,5395,,,,,,,,,,,,,,,
四川师范大学,四川,第103组,569,5938,,,,,,,,,,,,,,,
四川师范大学,四川,第105组,569,6017,,,,,,,,,,,,,,,
四川师范大学,四川,第104组,568,6085,,,,,,,,,,,,,,,
四川师范大学,四川,第106组,567,6342,,,,,,,,,,,,,,,
四川师范大学,四川,第101组,564,6935,,,,,,,,,,,,,,,
宁夏大学,宁夏,第103组,572,5458,,,,,,,,,,,,,,,
宁夏大学,宁夏,第101组,569,5908,,,,,,,,,,,,,,,
宁夏大学,宁夏,第102组,568,6219,,,,,,,,,,,,,,,
南京医科大学,江苏,第101组,572,5386,,,,,,,,,,,,,,,
集美大学,福建,第101组,572,5397,,,,,,,,,,,,,,,
深圳技术大学,广东,第101组,572,5422,,,,,,,,,,,,,,,
成都理工大学,四川,第102组,572,5370,,,,,,,,,,,,,,,
