序号,院校名称,学校标识码,主管部门,所在地,层次,省市,性质,研究生,共建方,城市级,考研,推免,深造,国内升学,出国,行业隶属,顶尖专业,特色专业,官网,可点击链接
1222,江西理工大学,4136010407,江西省,赣州市,本科,江西,共建,推免,江西省、教育部、工信部,三线,16.91,3.3,27.30%,26.57%,0.73%,有色金属公司,,采矿工程、机械工程及自动化,https://www.jxust.edu.cn/,https://www.jxust.edu.cn/
1223,景德镇陶瓷大学,4136010408,江西省,景德镇市,本科,江西,公办,,,四线,6.65,,1.87%,1.84%,0.03%,轻工部,,,https://www.jci.edu.cn/,https://www.jci.edu.cn/
1224,江西农业大学,4136010410,江西省,南昌市,本科,江西,共建,推免,农业农村部、江西省,二线,15.54,4.3,29.69%,28.51%,1.18%,,,动物科学、农学、林学,http://www.jxau.edu.cn/,http://www.jxau.edu.cn/
1225,江西中医药大学,4136010412,江西省,南昌市,本科,江西,共建,推免,国家中医药管理局、江西省,二线,17.42,1.4,28.52%,28.22%,0.30%,,,,http://www.jxutcm.edu.cn/,http://www.jxutcm.edu.cn/
1226,赣南医学院,4136010413,江西省,赣州市,本科,江西,公办,,,三线,11.77,,27.10%,27.00%,0.10%,,,临床医学,http://www.gmu.cn/,http://www.gmu.cn/
1227,江西师范大学,4136010414,江西省,南昌市,本科,江西,共建,推免,江西省、教育部,二线,19.72,5.3,20.57%,20.55%,0.02%,,, 公共事业管理汉语言文学化学英语,http://www.jxnu.edu.cn/,http://www.jxnu.edu.cn/
1228,上饶师范学院,4136010416,江西省,上饶市,本科,江西,公办,,,三线,10.63,,15.46%,15.10%,0.36%,,,,http://www.sru.edu.cn/,http://www.sru.edu.cn/
1229,宜春学院,4136010417,江西省,宜春市,本科,江西,公办,,,三线,7.21,,15.36%,15.12%,0.24%,,,,https://www.jxycu.edu.cn/,https://www.jxycu.edu.cn/
1230,赣南师范大学,4136010418,江西省,赣州市,本科,江西,公办,,,三线,17.92,,24.80%,24.25%,0.55%,,,,http://www.gnnu.cn/,http://www.gnnu.cn/
1231,井冈山大学,4136010419,江西省,吉安市,本科,江西,共建,,江西省、教育部,四线,10.63,,16.36%,16.04%,0.32%,,,汉语言文学,http://www.jgsu.edu.cn/,http://www.jgsu.edu.cn/
1232,江西财经大学,4136010421,江西省,南昌市,本科,江西,共建,推免,江西省、教育部、财政部,二线,13.46,5.2,44.88%,37.05%,7.83%,财政部,, 金融学市场营销,http://www.jxufe.edu.cn//,http://www.jxufe.edu.cn//
1233,江西科技学院,4136010846,江西省教育厅,南昌市,本科,江西,民办,,,二线,0.92,,3.36%,2.76%,0.60%,,,,https://www.jxut.edu.cn/,https://www.jxut.edu.cn/
1234,景德镇学院,4136010894,江西省,景德镇市,本科,江西,公办,,,四线,6.76,,11.32%,,,,,,http://www.jdzu.edu.cn/,http://www.jdzu.edu.cn/
1235,萍乡学院,4136010895,江西省,萍乡市,本科,江西,公办,,,五线,32.25,,15.78%,15.66%,0.12%,,,,http://www.pxc.jx.cn/,http://www.pxc.jx.cn/
1236,江西科技师范大学,4136011318,江西省,南昌市,本科,江西,公办,,,二线,9.63,,16.05%,15.47%,0.58%,,,,https://www.jxstnu.edu.cn/,https://www.jxstnu.edu.cn/
1237,南昌工程学院,4136011319,江西省,南昌市,本科,江西,共建,,水利部、江西省,二线,15.25,,18.16%,17.49%,0.67%,水利部,,,https://www.nit.edu.cn/,https://www.nit.edu.cn/
